,text,COMMENT_COUNT
62,obvious interference ploy part clarence thomas simply shield wife damaging testimony graham may provide ultimately obstruction justice dealt accordingly,1
63,supreme court compromised,1
64,yyyyeeeeeaaaaaaaaaaaaaaaaaa gop winning big big big big hahahahahahahahahahahahaha,1
65,corruption,1
66,rules thee,1
67,uncle ruckus rescue,1
68,proves people law highest court land corrupt u come,1
69,needs removed supreme court,1
70,thomas kavanaugh barrett qualified scotus,1
71,corruption best,1
72,republican party greatest threat,2
73,thomas removed court forsaken law politics much paid wife disgraces americans,1
74,mf r,1
75,revamp rules supreme court justices term limits recusal rules removal nominees lie oath advise consent hearings,1
76,voter suppression election suppression make minds,1
77,disgusting,1
78,least russian mole thomas confirms suspected years unbelievably ethically corrupt clarence thomas wife ginni,1
79,unacceptable protect diabolical wife probably involvement,1
80,republicans using supreme court get jail free card didnt see coming put religious nuts court theyre weak minds easily swayed right,1
81,wow wow,1
82,thomas protecting wife,1
83,stinks high heaven obvious,1
84,treasonous republican party,2
85,thomas impeached hes corrupt,1
86,decades corruption hid system showing visible maladies rip usa,1
87,uncle clarence paying back quid pro quo,1
88,impeach thomas enough get rid,1
89,everyone saying nasty things thomas remember supposed supportive black people country,1
90,howls protest thomas growing louder get heard playing pure politics fascist politics menace country,1
91,maga republicans banking taking control house senate presidency tactic delay delay delay take control pardoned criminality happens conditions uprising like iran old men want hang power cost days numbered people want freedom justice accountability,1
92,thomas compromised recused corrupt judge corrupt unfair court,1
93,live south carolina graham worth nickel hold thomas continues show us fit supreme court justice,1
94,corrupcin highest levels mr thomas recuse every issue regarding january big lie,1
95,justice thomas corrupted trying protect wife seditious traitors,1
96,think time doj brings ginni thomas conspiracy charges via pre dawn raid,2
97,think must terrible things going republicans whatever delay testimony,1
98,thomas needs impeached,1
99,horrible long ads,1
100,ok fine time consider impeachment thomas,1
101,welcome american broken justice system corruption officially clear open see politicians well connected break laws cover shame,1
102,thomas giant pos much compromised,1
103,get rid supreme court judge,1
104,many stupid people crazy literally told basis people still think somehow corrupt dont like things dont go way,1
105,graham swamp creature rhino,1
106,lee harvey oswald need,1
107,gee color surprised trump apple polisher would help,1
108,good job lie thomas get additional advice wife supreme court justices jokes laughable,1
109,course justice thomas corrupt putrid biased one get look hideous trumper anti democracy wife,1
110,funny justice joke,1
111,dont people question lindsey graham cruises rest stops,1
112,outrageous folks time vote blue,1
113,lil lindsey graham even allowed file appeal florida th circuit court thomas chief judge case georgia gop corruption obstruction,1
114,ginny got,1
115,clarence thomas worst supreme court justice since roger taney,1
116,american system f,1
117,clarence thomas garbage first day became supreme court justice remember hearings anita hills allegations true eyes trash married trash,1
118,country doomed republicans lying stealing usa us china us russia maybe us north korea us trump,1
119,american republic already dead couple weeks carcass reeking crawling magats,1
120,realize supreme court justice could make type decision unilaterally matter think individual could contact justice ask make ruling behalf norm believe makes graham special losing respect faith upper echelons government,1
121,course cuz uncle thomas wife doubt mentioned proud american justice system going way block justice,1
122,bunch crooks regard looks anymore,1
123,nobody follow law anymore elected officials law clearly friends high places able even bare min simple aspect judicial system testify anybody else comply aspect law choose agree yet begun see darkness awaits country ahead finally played russia helped elect trump experiment rot within exposed,1
124,supreme court corrupt,1
125,supreme court say revered branch government younger generation see kind corrupt court disgusting least,1
126,thank justice thomas affirming first amendment right speak,1
127,rats running free infesting government call exterminators,1
128,house n,1
129,lindsey testifies ginni goes lalala lalala lalala good husband anything else,1
130,clear conflict interest,1
131,thomas corrupt,1
132,man clear conscience nothing fear,1
133,thomas corrupt man justice apply term limit years like countries kick tomorrow impeach justice injustice,1
134,smells like toilet lol,1
135,ridiculous,1
136,liars cowards,1
137,georgia recorded donald trump blabbering needed steal state south carolina senator got lucky heck,1
138,miss lindseys coward,1
139,blatant,2
140,country built lies falling apart good job uncle clarence,1
141,go checkmate move supreme court friend high place,1
142,uncle tom save maga queen,1
143,course allow graham tell truth republicans still understand would simply job would getting called testify graham crook till got knees trump,1
144,people still watch racist channel,1
145,useless country one supreme court justice law,1
146,bury underneath gitmo traitors,1
147,oh man lmao know democrats meltdown,1
148,justice thomas must impeached immediately,1
149,thomas need rubber mallet applied forehead,1
150,unbelievable,2
151,justice thomas teeing impeachment looks,1
152,impeach thomas clearly maga loyalist,1
153,corruption supreme court hen pecked wimp thomas supports treason,1
154,course wifes involved plot,1
155,good ol msnbc probe allegations alleged election interference really really hammering home idea allegations without merit wording allegations msnbc alleged respectable news organization,1
156,get individually decide anything institutions forever,1
157,well look good,1
158,checks balance joke ridicoulus,1
159,wrong justice thomas dangerous threat supreme court something must done,1
160,glad supreme court corrupt awesome,1
161,course came ginnied uncle thomas,1
162,thomas guy seems shady,1
163,truth justice important democracy clarence thomas fair legitimate judge,1
164,guess sc works frump organization company private criminal law office,1
165,maga gang play delay strategy,1
166,well wife involved gotta block get criminals ride together,2
167,birds feather flock together,1
168,time put term limits supreme court lifetime appointment absurd unless justices start accidentally falling windows like russia,1
169,long mother tells thomas remain spineless snake,1
170,seeing wife questioned jan th committee thomas allowed rule words conflict interest longer meaning graham testify likes talk big senate floor man wussy guy well many republicans talk tough go th amendment shrivel look way fan hillary trent gowdy stand something like hours go th amendment refuse testify nope stood took coming unlike big talking republican,1
171,wow bit surprised,1
172,person qualified justice,1
173,ct needs recuse,1
174,let guess corrupt jan judge treasonous wife wouldnt work way,1
175,open corruption shame,1
176,guess guilty,1
177,birds build nest ur skin bones ill last e live alone final ghost,1
178,crooked supreme court supporters dirty people line commenting ur employers putin scum china scum iran scum earth china scums hungry scums italy right psycho wing scum theres paying people comment beating nice totalitarian communist dictatorship countries,2
179,america justice injustice poor preferential justice rich empowered power,1
180,cares anything man named lindsey say,1
181,thomas impeached corrupt finances investigated,1
182,pmsnbc really obsessed jan americans world moved horrible people dont care pmsnbc trying cling relevancy much ratings tanking since madcow left,1
183,proof justice clarence thomas criminal,1
184,justice thomas whos wife mess protects criminalsand chief roberts wonders lack confidence court,2
185,thomas recused anything jan,1
186,wtf us system broken,1
187,course,1
188,vote blue,1
189,next bench see clarence one park bums feeding pigeons,1
190,wow wow thomas removed,1
191,justice thomas going block testimony session wife front congress point temporary stay first place stalling tactic run clock time build defense trying get past jan committee life time current admin wonder coached jim jordan ways running clock used sports wondering come mind help,1
192,clarence thomas always embarrassment nation purely party hack never selected much like kavanaugh trump appointed supreme court justices egregious crimes yet miraculously approved members supreme court liberal judge anything even close something like people would ever approved let alone nominated well past time something done allow us remove supreme court justice clearly capable separating rulings political opinion versus ruins based actual law,1
193,u become corrupt nation truly embarrassing american laws scotus corrupt,1
194,via ginny,1
195,guess one deposition question speak ginni thomas georgia,1
196,wtf white wannabe supreme court corrupt master tangerine mussolini,1
197,fix,1
198,course one corrupt judge helps corrupt senator,1
199,well know order came smh,1
200,course corrupt scotus judge family ginnifer ok clarence,1
201,school bully father best friends local sheriff kinda sums trumped supreme court,3
202,impeach thomas,1
203,ask want testify conversation georgia sec state also recorded hmmm,1
204,hahahahahaha didnt see coming well played mr graham well played,1
205,eyes lindsey,1
206,justice thomas needs step nothing like seeing corruption real time take us get justice trying take country corruption straight favors people power people stand government self serving corrupt need go,1
207,true colors coming review oath office,1
208,state issue federal issue supreme court ga sure gross abuse power scotus,1
209,corruption best,1
210,barr uncle clarence,1
211,maybe missing something even issue lois lerner pleaded fifth refused testify making statement supposed innocence anyone else,1
212,oh looking home team,1
213,ginni thomas probably directly consulted lindsey graham course going shield testifying hilarious supporters look everything power avoid testify oath go yeah fine,1
214,uncle tom saved coward,1
215,obstruction,1
216,justice thomas criminal must looked compromises court unethical,1
217,obviously thomas impeached people utterly blind would either care unless trying cover sorry azzes,1
218,thomas zero ethics go subpar legal acuity thomas needs impeached,1
219,need get rid judges life nope certain terms like everything else get crooked ones like got nope time limits life time appointments,2
220,thomas way corrupt bet ganni talking gharm,1
221,steven jango,1
222,gop literally turned supreme court personal lap dogs insane court ruined honestly way forward would heavy reforms make sort thing impossible,1
223,lindsey graham commit crime trying turn election,1
224,ridiculous biased decision corrupt justice ive lost faith supreme court justice system republican leadership america become corrupt lawless country republican mostly blame miss lindsey graham example worst,1
225,happens vote,1
226,course needs impeached,1
227,many supreme court justices belong ultra right wing group federalist society,1
228,disgusting blatant disgusting thomas decision thomas needs step impeached,1
229,lets see supreme court acts like court justice supreme bench political hacks,1
230,fix,1
231,clarence thomas needs go stay thing people treated like everybody else testify blocking protecting need go stinking wife,2
232,trump must fuming thomas denied trump request yet puts temporary block graham testimony mean lindsay graham could still testify,1
233,america hungary road trip germany courts democracy dead,1
234,justice thomas needs impeached immediately,1
235,got lave supremacy court,1
236,wow wow know bulletproof,1
237,point temporary block make guy testify especially inevitable delay delay delay nothing trump game thomas game apparently,1
238,thomas insurrectionist lock wife treason see decisions go,1
239,swear wish everyday normal tax payer citizen bend law special accommodations ever fits narrative,1
240,illegitimate supreme court pathetic clowns allowed part governing processes kangaroo court action,1
241,buddy system,1
242,hack news company cant even report without inserting think,1
243,well pretty much confirms usa longer democracy checks balances true screwed,1
244,shocked corrupt judge thomas traitor keeper ginny corrupt corrupt obvious obvious,1
245,know clarence sexual predator already proven objective observer complicit trump sedition attempt point least clarence thomas aiding abetting trump crimes american people least,1
246,americans sit take delay shitshow,1
247,thomas disgrace scotus,1
248,friends family members living abroad keep wondering heck going us called rule law gone wont coming back least another generation,1
249,scotus illegitimate,1
250,called justice system,1
251,corrupt judicial coup thomas bias vote blue expand court,1
252,due season everything person life delay means time come least expect,1
253,one rogue judge unbelievable bye bye democracy rule law,1
254,seriously anybody expect anything else happen,1
255,ginni needs recuse,1
256,thomas move completely disgusting,1
257,take traitors guantanamo bay military court trial guilty scum blindfold firing squad,1
258,remember thomas places cult real justice cult justice goes show anyone converted criminal replacing plantation overseerer cult group,3
259,,1
260,intimidation speech question thomas whose family wife ginni shown impartiality open election fraud conspiracies without shred evidence part fragile hold democracy falling apart understood get vote blue november election democracy loses people last strongest line defense corruption despotism,1
261,bs corrupt scotus,1
262,lindsey graham live law land anyone else ordered testify would choice law,1
263,justice rich powerful,1
264,even justice thomass decision appropriate fact clearly appearance conflict interest means ethical judge would recuse situation clearly thomas concerned ethical overall reputation supreme court,1
265,founding fathers thought politicians members government would integrity high bearing reckon ones like holelito gorsuch barrett thomas kavanaugh,1
266,another shady ruling clarence thomas,1
267,thats great scotus supports coup criminality else right wing body like moscow mitch supreme court make trump debacle complete,1
268,msnbc facts dont matter feelings,3
269,traitors helping traitors,1
270,scotus joke,1
271,omg toss lovely ginni jail,1
272,impeach clarence thomas,1
273,uncle clarence tom isnt one found pubic hair coke,2
274,thomas needs removed protecting criminals,1
275,coke clarence wretched wife traitors,1
276,democrats already cheating mid term elections disgraceful,1
277,heroes right corrupt sexual deviants mean seriously like job requirement gop,2
278,justice going uphold law,1
279,want propaganda turn msnbc,3
280,dirty dirty deeds,1
281,country feckin corrupt elect criminals,1
282,thomas traitor like wife like trump forefathers would wasted time throwing jail times clarence needs impeached removed already,1
283,judge completely control unbelievable sure law thomas guy really shame role judge,1
284,happens paid judges murica smdh,1
285,always count msnbc bias black right shouldnt defend minority oh get republican enemy right,3
286,hahah fools whose heads popping deceived angered msm gullible,1
287,wonder lindsey knows clarence thomas doesnt want get,1
288,fuuu usc,1
289,time impeach clarence thomas,1
290,justice thomas traitor democracy america needs impeached immediately,1
291,dirty justice system guess people whatever desire covering dirty deeds helping criminals prison lying people everything chaos time passes traitors liars country constitution people going vote,1
292,goes show u justices supreme court political affiliation influenced decision,2
293,knew gonna pull bs,1
294,dirty traitor judge,1
295,justice clarence thomas proven unfit supreme court seems always wrong side issues time wait see right thing completely eroded credibility left resounding opinion confidence next stage start petition impeach hopefully remove court happily provide first signature,1
296,dont watch cnn msnbc pause write comment pause dont watch ads two channels please remove youtube channel,1
297,judge thomas right lindsey graham pay crime united states judge thomas impeached,1
298,justice thomas treasonous wife arrested immediately,1
299,clarence thomas disgrace position nothing trump puppet step,1
300,graham debating georgia election oh yeah votes,1
301,thomas traitor like everyone gop,1
302,thomas seems fighting hard cover dirty lundary option america expose vote support democracy justice shameless judge lindsay chicken hiding behind duck thomas patetic,1
303,hey libturds use brand name aluminum foil next hats thomas responsible emergency applications like delay,2
304,trump called ginnie tell husband give lindsey break side,1
305,thomas hates biden rest country lmfao,1
306,temporary based look forward members congress allowed call every state union question every states elections talk scotus fools,3
307,really grounds even trying hide anymore absolutely must expand court balance liberal justices gone far,1
308,clarence thomas wife enemies state book disgusting corrupt decisionthomas charged obstruction justice p vile wife,1
309,wtf,1
310,good serious constitutional questions democrat party january committee demanding testimony member congress serious constitutional questions checks balances built within system government,1
311,wow justice court fake bueno,1
312,traitor thomas even involved world point view unstable untrustworthy,1
313,law whatsoever,2
314,unequivocally protected constitution speech relating legislative matter confirming federal election results could explicit,1
315,surprise surprise thomas mommy master anti democracy knuckleheads unworthy us citizenship,1
316,corrupt judges needs fired,2
317,good know justice system blind justice system fair across board effing doomed,1
318,sounds great bogus scotus judge thinks thomas think graham anything rig elections calling elected officials wait states start getting calls congress people congress election time thomas dumbest judge scotus allow flood calls every election confuse crap state officials lawsuits abundent without end dumbo opened worms take us republic closer civil war,3
319,like game ping pong well republicans declare wrote constitution also well god complex sure find entitled neither graham thomas resemble god know considering thomas steps away impeachment thanks singularity white spouse involvement sedition insurrection say days numbered republicans fail retain enough seats senate thomas either retire covid retire consent forced retire going impeached game ping pong continue without characters interesting watch outcome one getting boring,1
320,well theres surprise,1
321,didnt see coming,1
322,lefties lose alot lately,1
323,republicans slogan delay blame delay blame,1
324,wtf,1
325,welcome american justice system corrupted core judge says graham must testify get lawyer word thomas hey presto stalls case blatant cronyism repugs take house case like many others disappear dark hole never heard,1
326,impeach clarence thomas dirty man day one turned fascist since disgusting,1
327,justice peace horrific war graham better testify,1
328,see maga thomas,1
329,greatest enemy fascists truth illegitimate scrotus history needs emptied repealed revised,1
330,wtf thats crazy,1
331,justice thomas want maga dominoes start falling one wife,1
332,traitors,1
333,judge removed court right,1
334,evidence justice thomas corruption,1
335,another racist attempt democrats still party created kkk see sad sad,1
336,course wife maga fully expected,1
337,supreme court wonders legitimacy appearance issue need look clarence thomas understand,1
338,way stop trump style fascism remove religion government otherwise manipulated fanatics keep voting infallible bs agenda hypocrite dictators,3
339,thomas needs removed court crooked,1
340,lindsey baby whatcha got hide,2
341,developed country rich law happened good thing graham america,1
342,criminals added criminal supreme court country longer exists gone,1
343,thomas excused cases,1
344,clarence thomas make kavanaugh gorsich looks like liberal bad clarence thomas kavanaugh gorsich reasonable compare guy thats extreme,1
345,justice thomas continues dishonor supreme court,2
346,supreme court lost credibility rip american democracy gop successfully ushered fascist authoritarian regime,1
347,sambo fits job hired challenge dank sas please,1
348,suppose might implications thomas wife ginny part lindsey phone calls lindsey testifies thomas must removed actions highly suspicious,1
349,thomas appointed work democracy gop handmaid crybaby put place thwart justice aileen cannon far league vote fascists reform court,1
350,clearance thomas treasonous sob needs impeached immediately,2
351,would testify provide information duty really consider something hide,1
352,two smells never forget necrosis corruption,1
353,justices step witnessed death american justice law order semblance democracy,1
354,judge thomas thinks jewish space lazers changed vote bet thinks virus clinton hit job carried rothchilds national inquirer news idiots video tapped epsteins island dem republican independent whoever went surveillance well wire taps conservativesare deep state stupid maggot infested maga morons,1
355,thomas must resign fired president biden,1
356,sure impeach recall judge supreme court needs done thomas corrupt,1
357,supreme court political right,1
358,effing kidding justice united states supreme court shot somebody broad daylight know nobody going thing,1
359,dirty lying cheating bought paid supreme court,1
360,terrible optics wtf,1
361,oh much justice rule law,1
362,quelle surprise,1
363,thomas keeps smelling fishier fishier time,1
364,lemme get straight lindsey want deal optics testifying jury election bid fine part group attempting affect someone else attempt elected fairly hypocrisy caucasity clarence thomas sickening nation doomed lemme get passport asap,1
365,yeah course justice thomas recuse based wife insurrectionist,1
366,opion justice thomas trump lover,1
367,thomas fat ugly obese pathetic wife something,1
368,angry anglo foxes attacking brother aint pale doesnt follow agenda blatantly racist malcolm x unmasked years ago hence yall killed,1
369,bad,1
370,republicans law put whole court vote,1
371,impeach impeach impeach thomas wife going,1
372,feeling decided blow subpoena notice appear couple marshals door pretty short order ordinary americans luxury running supreme court weasel lindsey made phone call georgia secretary state one put hammerlock forced needs answer explain oath,1
373,thomas needs removed already,1
374,punk,1
375,course thomas die thomas corrupt trump,1
376,bull,1
377,becoming country longer abiding rule law unconscionable magats destroying country,1
378,blame poor thomas told shrew wife,1
379,supreme court lost standing country along everything else,2
380,wai maybe ginni case supreme court corruption,1
381,impeach remove clarence thomas immediately unfit political hack posing sc justice anita hill said found coke,2
382,impeach thomas,1
383,impeach clarence thomas,1
384,traitor protecting another traitor,1
385,popular oxymorons jumbo shrimp postal service military intelligence justice thomas,2
386,action c thomas mis lindsay graham screams conflict interest,1
387,probably ginni call outrageous double standards,2
388,travesty justice sick gqp,1
389,rotten country,1
390,pathetic justice system high ranking filthy criminals starting trump imprisoned long ago instead nearly two years jan dealing roadblock like clown thomas hear get vote correct mess puts responsibility us however pitiful government legal system nothing everyone knows us committed one criminal acts would already slammer well everyone voted trump continues support animal hope get crabs big roaches,1
391,gee shock accused sexual abuser lied confirmed sides crook hmmmmmmmmmmmmmmmmmm,1
392,justice clarence thomas disgrace supreme court removed impeachment,1
393,red november tsunami,1
394,day good ole boys bailed anita hill situation owned day forward men destroying america care dress politics politics truth right wife opposition came involved fall tree america great people telling untruth ones destroying country poisoned worst man evil wickedness world even knows america left dump ny belonged america greatest shameful unethical unprofessional immoral undignified decision ever allowing exposing politics country secrets,1
395,hmmmmm thought supreme court supposed put position appears favoritism,3
396,delaying inevitable lindseys time come,1
397,oh gee wonder,1
398,finally end fraternity old rich men want without repercussions like even liar film get lead things anymore kind thing,1
399,go round two thomas v democracy,1
400,justice usa big joke thomas must sent exile,1
401,graham knew advance thomas going hold procedure midterm election graham counting odds favor republicans win back majority senate house representative november win majority go away waiting game,1
402,course thomas,1
403,thomas recused due wifes involvement election fraud fraud,1
404,justice wtf reason,1
405,c needs removed court,1
406,clarence thomas never fit serve supreme court anita hill told truth,1
407,judge right name thomas uncle tom disgrace embarrassment anita hill tried warn us pos,1
408,disgrace corruption top justice system us normal ppl another one white rich,1
409,impeach thomas lock graham,1
410,least know ginni thomas stands issue,2
411,fricken thomas man needs impeached forced recuse decisions related election subsequent shenanigans promoted wife right wing nutcases,1
412,time justice clarence thomas still employed trump,1
413,course corrupt judge would help spineless senator avoid justice,1
414,time tomas heart attack good,1
415,fu king lock graham along orange maga maggot pieces,1
416,bet lindsey donates lots money white wives matter pac,3
417,another maga justice putting republicans law time release non violent people jails ones getting justice,2
418,seriously needs recuse wife involved investigation,1
419,every tool purpose ginni thomas pleased one time clarence lindsey ginni hooked dismiss complicity perverted manner fascist pigs,1
420,congress needs immediately open investigation clarence thomas,1
421,corrupt really stick together,1
422,thomas evil black white supremacist,1
423,uncle tom,1
424,sure block moron testify georgia total garbage know meddling georgia surprise surprise thomas graham hero disgusting,1
425,impeach thomas,1
426,graham using trump playbook delay delay delay corrupt supreme court corrupt justice might get lucky choke chicken bone testify,1
427,depth conspiracy corruption supreme court appalling clarence thomas permitted rule issues wife player removed charged obstruction,1
428,thomas way base another state national senator election within ga legislative function committee oversees committees consensus action thomas traitor oath see small support theocratic perversion constitution,1
429,clarence thomas wept loudly watched _django unchained _,1
430,joe citizen law allows single justice one block court ordered grand jury testimony,1
431,wonder much lyndsey paid,1
432,thomas recused case look good justice thomas involved case involved election especially wife involved trying overthrow election,1
433,one always saves wimpy whiner afraid go oath,1
434,even surprised crininals scotus,2
435,shame justice thomas supporting lady g lady g right influence georgia elections senator afraid trump exposing sexual proclivities puppet justice thomas recuse resign,1
436,ah yes clarence huckleberry thomas strikes see goes however least picture graham discreetly course already sent thomas perfume scented thank note,1
437,biased corrupt justices hope families country goes due actions witness effects deeds,1
438,review congressional record avoid official participation congressional matters,1
439,bad state country corruption right open big middle finger country supposedly patriotic strength nation lot weaker anyone ever imagined,1
440,wondering trump would forced testify virtue subpoena got answer caught wheels justice seek relief highest court wait years everyone equal law trumps grahams world snap fingers scotus answers,1
441,criminals protecting criminals,1
442,america filled corruption surly case point wow face guess faga maga scotus boot,1
443,person reading even though know wish best life,1
444,thomas least active judge scotus wife radical activist another many conflicts interest thomas impeached,1
445,republican appointee expect,1
446,america getting corrupt nation world europe always known,1
447,joke,1
448,democracy gone,1
449,supreme court shows illegitimacy reason block testimony sc senator bribe another state election sound like state rights,1
450,thomas stand clearly justice,1
451,uncle clarence thomas,1
452,coward,1
453,possible given wifes involvement insurrection allowed participate issues related aspect plot,1
454,people wonder credibility court toilet time impeach thomas,1
455,justice thomas maga supporter legally addressed due seems biased political issues,1
456,ridiculous wife needs brought charges,1
457,lindsey business calling state georgia election results live sc needs butt get trump train quit kissing trumpy hind end,1
458,put shut gutless gutless traitors,1
459,course pos,1
460,justice thomas kompromat,2
461,hahahaha,1
462,paid top judge blocks criminal testimony classic usa,1
463,uncle thomas action,1
464,come,1
465,clarence thomas hook,2
466,thomas needs job properly turn grand jury room adjudicate question necessary holding case important beyond pale,1
467,liz better rule placed general population leavenworth either,1
468,,1
469,lefties meltdown commenced,1
470,words ginni thomas direct contact graham trying keep trump power clarence needs protect justice wheezing last dying gasps country thanks scotus,1
471,thomas disgrace civilization tried ban texts jersey wife mark meadows,1
472,look time old joe admit fascists stacked court time pack court america circles drain,1
473,surprise clarence stepped corruption corruption unsupreme court shows us,1
474,shame,1
475,thomas new republican party chairman leave day job yet,1
476,good,1
477,supreme court compromised senator compromised former president criminal traitor likely selling secrets enemy one thing,1
478,clarence thomas control corrupt totally following orders rnc impeached,1
479,well say toby good n,1
480,thomas corrupted graham traitor needs impeached graham acting official capabilities tried use position change result georgias election susan,1
481,make supreme court look like puppet right,1
482,one day soon going reckoning wont able hide obstruct delay longer justice come hope scares people core,1
483,gop os desperate hide crimes committed,1
484,justice thomas best judge money buy,1
485,need evidence supreme court justice thomas complicit wife attempt overturn election cover participation senior republicans officials trying influence vote polls closed,1
486,know clarence thomas loyalties clown thomas fascist way,1
487,impeach judge thomas,1
488,clarence thomas interest justice focus agenda undermines fundamental rights american citizens includes maga trumpscab nation whether want believe,1
489,guys wife actively involved election bs one making decision,1
490,sorry america sorry western democratic liberal world,1
491,thomas corrupt judge history supreme court surprise,1
492,course would compadres,1
493,traitor supreme court judge removed judge embarrassing us,1
494,lawyer never disgusted supreme court thomas like trump worst worst ethically intellectually two swamp rats,1
495,maga wins,1
496,looks really really bad chief justice roberts must livid,1
497,love seeing tiered justice system display u justice fair everyone bwaaahahahaha joke u jurisprudence,1
498,remove jennie thomas supreme court,1
499,ordered testify criminal trial appeal heard sc within month,1
500,,1
501,supreme court sued obstruction justice,1
502,dangerous ground tread watch democracy slowly die last check balance appears compromised,1
503,course dude history written dude kind,1
504,msnbc fake experts always fake news sooooo obvious far justice thomas going bat lindsey graham sucks go bat people constitutional right day lindsey graham fraud people one bit,1
505,fact piece recuse big giant amazon ugly wife said done compromises court extreme laughable joke,1
506,well whos surprised corrupt supreme court judge gave corrupt senator protection needs avoid testifying confidence left justice system supreme court quickly eroding lindsey graham would loudly boasting part overturning election conspiracy succeeded failed hes running scared testify part played know knows hes guilty research speech debate could use clause hide behind guy hopes become chair justice committee thinks law doesnt apply corrupt thomas supposed believe didnt discuss ruling wife also wanted overturn election id willing bet ginni thomas told best friend equal justice doesnt exist country certainly party law order,1
507,midterm vote anyone marxist blu question current president traitor marxist blu voters still americans according racist joe biden thomas black vote adolf biden,1
508,unreal thomas needs removed bench,1
509,w h time impeach clarence uncle tom thomas,1
510,scotus justice thomas saying senators law,1
511,well know justice thomas going going completely unbiased decision even though wife election denier,1
512,oh surprise surprise corrupt thomas corrupt wife stop stench supreme court,1
513,never right,1
514,dammm criminals get want long senate system rigged judges trump put going take long take trump court going get remove people god insane get try overthrow government okay know testify hilarious plead fifth guilty testify guilty world dictators laughing us never seen much crime life trump got office crime open getting away wow need buy trumpy bear buddy life god hold teddy bear happened people sad sad love,1
515,complete rewrite american constitution required mountain reasons way congresspeople immune questions kind,2
516,gross injustice,1
517,happiest countries world least corruption guess us must far happy right,1
518,innocent testify done saying looks pretty sketch bro push way supreme court afraid senator graham tell truth change,1
519,bought paid period,1
520,clarence thomas thrown court first year speaking court ginni husband totally corrupt ol clarence makes money giving speeches persons appear later front supreme court nothing illegal quick grand every weekend want know thinks tailor argument reich wing justices ensure win,1
521,america joke,2
522,weasel spine honor duty,1
