,text
59,weird uk centuries colonizing invading others countries others muslims etc taking control invasor government
60,enjoy bowl f ing curry britain
61,pink one whoreshitting right start
62,muslim guy jealous rishi see
63,congratulations rishi sunak
64,continue makes history next prime minister weeks
65,uk general election
66,dang racist lady reporter get need stumbling someone name racist lol
67,prime ministers kids
68,darkest british ever seen
69,prime minister sunak former president obama something common politicians countries
70,indian prime minister african minister finance next pakistani king brits total idiots
71,cant wait watch disaster unfold
72,god bless uk god bless sunuk takes done keep uk great best uk
73,bye bye uk
74,worked working hard living well heats pool wears prada etc running keeping britain economy foreigners much despise loathe looted countries
75,prime minister going spend much money ukraine war problem gas recession sanctions top
76,wet dream global elites
77,like bad joke keeps getting worse
78,finally uk indian pm
79,maga crowd go crazy
80,goldman sachs elitist received votes rigged global elite
81,conservatives racist
82,find englishman
83,wondering british downhill faster expected mind believe guy would possibly bail ditch lol
84,bet imtiyaz pakistan origin
85,congratulations britain always remember indians africans still hardened hearts foreigners shall led rule
86,thought couldnt get worse u k dude poster boy corruption wife doesnt even pay taxes billions india parents assets
87,another globalist picked disaster gone less time truss
88,friends dont look sunak look majority elect us old bully joe biden
89,cares skin color question job
90,brits racist
91,sure working class love lol
92,diversity competence
93,well gentleman news long ago wife non uk barely paid taxes uk
94,big diwali gift kohli n rishi sunak
95,winston churchill racist white potato orchestrated great bengal famine suitable comeuppance sure twerking grave faster miley cyrus
96,always sucker freebies
97,one voted fishi rishi
98,hold lost lizso dude got lost worst prime minister become prime minister
99,man proud knowing harvard graduates beca splendid prime minister within party despising non millionaires
100,let remind hitler white christian average household judging colour religion background worst things media house time
101,baba venega
102,think learned weeks made drop basket high tail
103,british market recovered soon rishi became leader
104,person color white color separatist talk low key racist call ppl whats right anglo saxon forth
105,britain stage stick fiscal discipline else thing happen happened liz truss matter party forms govt thats option nothing dramatic happen ukraine war thing happen us decides follow trumps policies significantly increase oil gas production sell discount uk europe india story change completely even joe biden
106,bhai zaldi se kohinoor bhejde
107,rishi wife avoiding uk income tax changed media pointed good idea pm
108,hahah racist
109,first queen gone oh heavens
110,indian indian origins successful immigrants english speaking countries
111,black brown woman ruling class oligarch protector remotely progressive
112,amazing videos thank breaking despite economic downturn im happy earning returns investment every days
113,days guy safe
114,
115,england fallen
116,rishi sunak british born indian origin proud hindu country looked colonists nation savages inferior breeding gives ruler yrs later india leaves behind uk economy history come full circle racist brits must unhappy lot today
117,people uk never voted sunak people voted boris definitely democracy call general election
118,quite different global life parents grew african countries grew england good luck
119,country rules india ruled indian love india
120,choice prime minister rishi
121,plus cute
122,know problem get indian slogan descent gonna say heavy heart like saying electric bills
123,racist leader
124,happened boris lol
125,uk pathetic son seem prime minster chancellor months old
126,another pick ds litter nothing change good
127,congratulations
128,feel sorry ukraine
129,make history voted majority u k complete farce
130,hes white uk function white man helm p
131,good thing queens dead remember dianna pregnant
132,oh look w replacement keep saying isnt happening
133,rishi sunak groomed injected uk government record speed time given lose mp candidacy well known conservative candidate bowing basically give win begin chosen chancellor exchequer installed prime minister without election warp speed really fully committed world economic forum agent married daughter th wealthiest tech billionaire india coup uk population perpetrated upon king charles also backer klaus schwab great reset agenda announced publicly role western populations sit back quietly watch corporate totalitarianism lock place leaders uk france holland sweden finland ukraine klaus schwab creatures leaders canada new zealand gavin newsom wef young global leader mark words end president united states
134,wef puppet rip britain
135,congrats everyone early found comment
136,well free visa billion indians
137,come cant change mindless zombie n chief actually spells dot giving website address
138,first non christian pm disraeli christian main argument rishi recently kept usa green card hos true loyalty uk question git rid american born pm boris johnson want another one split loyalties
139,hahah britain even fuqed bet yall going back european union
140,history created today great day diwali rishi pm
141,sunaks lived uk generations call indian use misnomer
142,osama said
143,first vulcan become british p
144,excessive wealth excessive poverty world economy collapses weight concentrated wealth
145,hell booed since supports islamic republic works putin
146,wish luck u k since need
147,government creates economic problems
148,get country
149,embarrassing
150,idea person idea going uk one thing know news agency fawning almost certain labor lefty
151,sunak released xrp ripple done deal today lodon brides fallen reset
152,people make history based leadership actions pigment skin
153,funny england great britain become trash
154,savior world arrived really speaker seems supermen arrived save world whit money
155,goes neighborhood
156,uk gone woke soft final nail coffin declining state
157,pm richer king xd
158,
159,attention volodimir zelensky wants commit terrorist attack territory detonate dirty radioactive bomb shift blame russia please inform acquaintancesthis information need immediate escape neighboring states
160,real diwali started today since appointment rishi sunak uk pm
