,CONTENT,CLASS
74,please share help friend thank much,1
75,roaaaaarrrrrr,0
76,looks fun good song,0
77,check vids songs awesome guarantee,1
78,love katy,0
79,loved much get stand fear,0
80,click itunes code,1
81,katy perry inspirational singer voice awesome loved much achieved music history believe guys could take min go channel watch first video would greatly thankful ty guys n katy still awesome xoxo,1
82,hi guys sell jack daniel hard back cover case iphone c old time dollars ebay,1
83,gf,1
84,subscribe,1
85,cute,0
86,think drunk shot first half video sec half comes boobs magically bigger beautiful suddenly dude practically vanishes,0
87,roar without doubt best song feel good song message everyone good job katy,0
88,great mother jungle sweet natural like videos,0
89,view vote sheldon please guys give stars thanks advance,1
90,katy conqueror haki gt,0
91,check videos please hate give one oportunity,1
92,wow nice congrasulation live much,1
93,bilion poeple earth stop dumb,0
94,love shit disliked sucks,0
95,hey guys really want go katy perry concert im contest need lot likes im loosing please could like picture would nice thank really want go concert,1
96,video inaccurate tiger would rip face,0
97,great video great artist katy perry admire creativity check channel nonsense mobile tech reviews comparisons well iphone plus review comparison,1
98,real animals,0
99,hey guys please subscribe channel gonna filming video hope guys like thank much support xoxo leah lt,1
100,maybe best music video last years pop music done folks,0
101,love katy perry lt lt,0
102,boooobs,0
103,really understand million views lol hating anything confusing,0
104,almost katys birthday october th lets say happy birthday katy,0
105,katy perry looking soo pretty damn cute,0
106,great song go katy,0
107,looooooooooooooooooooovvvvvvvvveeeeeeeeeeee ittttttttttttt,0
108,telephone,0
109,comment randomly get lot likes replies reason also like jello strawberry jello,0
110,hey guys made amazing smiley shirt things wear expression important remember statistics world cant measure warmth smile big fan shirts want gets happiness perfect check buy www teespring com smiley thanks guys much,1
111,really want video get billion views would amazing,0
112,katy voice gold video really brings lyrics life rapper subscribers thumbs hate take shit water splashes nuts,1
113,started hating katy perry finding stole ideas videos old comic book yet music catchy,0
114,song million views million people world,0
115,katy perry garbage rihanna best singer world,0
116,,1
117,katy perry part katy perry firework katy perry love,0
118,song good got overplayed hell radio,0
119,see human folly right,0
120,great song,0
121,awesum song jus luv,0
122,watch videos xx,1
123,please check acoustic cover channel thanks,1
124,imagine news crazy woman found acting like tiger bit jims ear,0
125,selfie alert,0
126,going hear roar soundsofsunday,0
127,shit,0
128,loves vena trojmiasto pl vena bus taxi html,1
129,competition meet idols would mean much guys like pic ig,1
130,katty perry please say one new videoes follow girls girls please,1
131,big fan love,0
132,,1
133,lt katy perry,0
134,since feminist champion would want reinforce stereotype girls girly painting nails elephant probably even appreciate,0
135,,1
136,,1
137,interested making extra money internet use next link www swagbucks com refer nonturtle,1
138,fucking shit first notes becomes clear complete utter shit may god come cleanse earth complete utter idiocy humankind,0
139,hey guys plz check youtube channel c funny girls cup reaction thanks plz subscribe thanks,1
140,please subscribe every sub gets shout tell type videos u want try make happen,1
141,hey guys subscribe channel reason please,1
142,katycat,1
143,least get rid completely useless makeup,0
144,love roar katy perry favorite singer sometimes mute volume look,0
145,best best video world,0
146,got incredible voice extremely hot nice tits,0
147,gt attention katycats katy leads noms year mtv ema vote daily tv mtvema com vote delete spaces thumbs share fb,1
148,really like song,0
149,son love much,0
150,love,0
151,follow instagram bigboss,1
152,elephant broken horn,0
153,free itunes giftcard codes,1
154,find make freakin jungle,0
155,cute monkey,0
156,nice song,0
157,subscribe please,1
158,sheep period terrible music,0
159,friend mine invented big dick formula small dick inches research topic research found secret knowledge penis enlargement applied learned inch dick absolutely amazed results course took months therefore written book issue order help guys asked promote book guys interested info check selling symbolic thank,1
160,beginning scared everything next thing know leopard bikini,0
161,please look channel,1
162,three bigger secrets think good enough skinny size bisexual sweat really freaking bad nervous check secret austin mahone new single,1
163,like mee,1
164,katy beautiful song catchy rapper subscribers thumbs hate take shit water splashes balls,1
165,love green eyes,0
166,old katy perry,0
167,popular video youtube,0
168,nokia spotted,0
169,hear time radio really irritating said like video,0
170,hi everyone dream passionate sex katy perry people believe mebut maybe sex giant part life pushes better person please give chance giving thumbs love ambition please subscribe,1
171,fantastic,0
172,j aiiima plzzz,1
173,,1
174,awesome xd,0
175,katy perry songs bad,0
176,hi beaties made new channel please go check subscribe enjoy,1
177,like page yo,1
178,beautiful bella diagnosed wobbler syndrome way could afford mri surgery dog special member family without surgery fear lose please help,1
179,,1
180,,1
181,good,0
182,,1
183,awesome video one favorite songs,0
184,body like katy perry looks hot love,0
185,download rapid facebook free,1
186,song good video makes sense nonsense video mean telling story stuck island song fit situation nvm song good,0
187,else would give katy perry good old mighty roar,0
188,omg love katy parry songs rock thats total subscribe,0
189,esyest money ever join team,1
190,katy perry roar official,0
191,free itunes gift card,1
192,playing song baby belly started dance sooooo cute take song cause copy right add youtube made song still sooo cute baby danced song lmfao,1
193,katy perry awesome,0
194,song addicting hook dope catchy love video getting popular fast rap real thumbs piss next water toilet quiet,1
195,nice song see new track,1
196,love sooooooooooooong love katy perry,0
197,tattoo right tricep say,0
198,since katy perry youtube channel,0
199,every time watch mv glad live world worry running real human eating tiger,0
200,rekt ur mum last nite cuz da haterz much meh lik dis u cri evertim sponswer mi robox vidz home,1
201,eye tiger champion seems like katy perry using titles old rock songs lyrics,0
202,perfect wonder,0
203,home,1
204,horrible acting cringe worhty,0
205,love katy fashions tiger care visit blog sinar jahitan also tiger collections tqvm,1
206,anyone loves music please go check youtube page tell think put video song trying get started love much appreciated,1
207,tiger called katty purry,0
208,blue eyes trusted uranus bless america,0
209,rap belarus check channel,1
210,follow twitter freyacumqueen,1
211,katy perry roar official,0
212,c mon katy close subscribers come another hit like happen,0
213,vote katy emas katycats,1
214,honest opinion mediocre song nothing unique special music lyrics voice nothing memorable like billie jean beat millions fans reply hate comments know democracy people free see want right express opinion please reply dumb comments lie like watch came see buzz million views like saw ok,0
215,visit channel,1
216,wow sexy xd,0
217,looking new music listen check cece song called dead itunes music video right youtube,1
218,katy voice angel,0
219,hey guys working last night project music streamer like spotify allows download files listen offline opening free beta feel free try download ehvjzkya bgkg iwphzohwaeuesrwnegqg_labco rw wfx hao,1
220,man hot one male companions visit profile check coolest sextoy ever made,1
221,like page please,1
222,video racist animals,0
223,man beautiful,0
224,want win borderlands pre sequel check channel,1
225,hi would appreciate could help like poster facebook,1
226,plz help getting subscribers tonight today thanks sub,1
227,yesterday video million likes million,0
228,tiger succumbs beautiful girl probably male tiger ha ha ha,0
229,best song ever,0
230,thank katyperryvevo instagram likes axeljonssons,1
231,please subscribe channel,1
232,good make music,0
233,love katty perry lt,0
234,honestly wanna see brave oh wait,0
235,,0
236,video great love like much katy perry,0
237,good thing brought spray tan hairstylist makeup artist cameraman,0
238,views million katy perry illuminati confirmed,0
239,make guitar covers please look channel,1
240,illegal goodlooking babe,0
241,katy mine girl dreams,0
242,love song,0
243,fit,0
244,love song roar make think fill way,0
245,forget choice fuck surviving plane crash chance happening,0
246,fool foolish video lyrics great arrogant obviously thing lot idiots look many hits garnered young stupid girls listen numbering millions guess video piece trash would anyone ever like listen stupid little girls idiots fathers mothers going turn idiots also like stupid singer,0
247,attention need million views firework reach half day left katy birtgday listen could possible gt gt open different tabs different browser gt gt dont watch full video remember dont time hand time wasting view sec plz thumbs share,1
248,rapid facebook free version colors characterized fast beauty download,1
249,hey katycats releasing movie midnight uk time celebrate katy th birthday sure subscribe channel watch movie,1
250,realized verses song exact melody verses hey ho lumineers,0
251,favorite song,0
252,song never get old lt,0
253,happy birthday katy thats,1
254,hey know people like kind comments amp see spam see free advertising please check cover sparks fly taylor swift best ever know maybe encouraging words wisdom many become better please go channel check,1
255,www youniqueproducts com joannagordon younique joanna gordon www youniqueproducts com,1
256,like katy perry,0
257,glad know im one knows katheryn birthday today happy birthday katy sister seriously birthday,0
258,katy perry sing shit hear autotune,0
259,fucking hate write songs got producers second tha fack every song almost nude mayby attention hooker,0
260,also luckymusiqlive probably could help u make big think u talent look name internet hit u get message,1
261,check drum cover e thanks gt watch v povz oiq amp list uultucdihsdei ow wuq,1
262,put famous people jungle hour look happens,0
263,kinda let go huh,0
264,love katy perry lt,0
265,sign free tsu start making money social media add follow ill add follow,1
266,love relate daughter music katy perry roar official,0
267,subscribe subscribe back,1
268,katy perry roar official soundsofsunday music,0
269,hear katy singing cry song got depth,0
270,love,0
271,people believe illuminati stupid people believe made american government,0
272,plz subscribe channel need subs sub back need help,1
273,please look dhg songs playlist bunch amazing songs,1
274,hey nerdy peach new youtuber would mean absolute world could check em lt hope like,1
275,im pretty sure tiger wanted hug,0
276,,1
277,song gives strength love lyrics video really brings lyrics life getting known fast rap meaning thumbs piss next water toilet quiet,1
278,,1
279,,1
280,love katy perry sing nice shakira,0
281,,1
282,facebook account hack,1
283,love katty perry,0
284,perry good job good job love videos way please describe channel please please please please trying get many comments skyburst lights cancer get famous please,1
285,cover u want check thank u michael age,1
286,everybody please vote katy ema best song best female best pop best live best look best video please vote katy please please please vote vote vote katy katy katy,1
287,h god roar liked video vevo months ago justin baby congrats katy applause lt,0
288,,1
289,,1
290,hi everyone like music check music channel lexis band uploading songs covers soon miss please subscribe help us lot takes one click gt,1
291,,1
292,rather hear propa explicit gangsta rap insted garbage song trash,0
293,damnnnnnnnn sexy o_o,0
294,good song ans katy sounds great melody im growing artist everyday hit song crazy got name cant thank fans support could take moment check music maybe join make dream come true thank time,1
295,love u make smile im sad cheer beautiful songs lt,0
296,song boring asinine song ever heard coming guy liked teenage dream song ever since katy perry divorce wave wave shitty successful songs saying next wave pop music stick ass katy perry like silly putty,0
297,katy perry roar official love song video katy perry rocks wahoo,0
298,somehow access makeup middle woods,0
299,looks real daughter big fan likes lot songs,0
300,comprehend video nearly views people found gangnam style funny explains high view count awful pop song really clue one,0
301,lets honest last day jungle stop living n fairy world,0
302,segue ha,1
303,nature beautiful need place tits video impress people,0
304,stupid roared lion real life dede,0
305,song awesome made everything stand viewers could imagine setting video awesome job katy perry,0
306,katy perry roar official,0
307,katy perry lion,0
308,people new network like fb register also free difference get paid sharing commenting liking posts one waste time fb sharing paid register make also money everyday posts wellcome everyone,1
309,figured dislike song supposed power ballad right something uplifting motivating end however final chorus extra umph end actually sounds like first one instead crescendo ing powerful finish roar says wavelength falls flat,0
310,like song video goes perfect,0
311,champion gonna hear roar today champion today champion creator today positive world today blessing healing around today successful creating success,0
312,nowplaying weekendmix track katy perry roar dj denis shmelev amp dj alex serov remix listen live www smartfm nl livestream html,1
313,katy perry songs best songs women artists,0
314,like song animals like song,0
315,,1
316,love song much heard much pretty much memorized lyrics,0
317,hey guys know tend skip comments take look first free fire big room progressive house deep house dubstep amp chillstep producer small town missouri support community really ask critiquing support views music gotten much better months ago promise new content satisfying soon able advertise wont pester guys anymore gimme chance check music thanks god bless,1
318,latest movies please visit site,1
319,love subscribed,1
320,go register free money,1
321,great song know katy buys views,0
322,check mah girl duh shit yo,1
323,check video youtube facebook lhudygirlamaya,1
324,hey yall real kevin hart shout fans follow realkevinheart,1
325,check acoustic channel,1
326,know someone see dream dont greatest videos best quality right feel like getting anywhere need help could possibly watch videos means world please thumbs others see appreciate much please listen hate honestly appreciate much dont love give year old chance,1
327,please open link vote anand niketan international school project name project fr e dom share friend,1
328,hate videos like poor animals,0
329,hii youtube,0
330,nice nice,0
331,love song,0
332,katy shit go die roar floooooooooooooooooooop,0
333,love music,0
334,th grade teacher looked exactly like katy perry come think,0
335,curti click,1
336,please click link,1
337,come check parody,1
338,please subscribe us thank,1
339,please vote wet seal model contest instagram username destinyforever_,1
340,simply put customers love us,1
341,qt q jb,1
342,almost bil wow gs sucks opinion,0
343,katty best,0
344,good mean much good,0
345,song means much thank soooooooooooooooooooooooooooooooooooooooo much xxx,0
346,lt,0
347,katy perry dcio cabelo decio hair years age family single alone homeless alcoholic age invisible composer dream record songs could help please please trust give chance videos youtube deciocabelo canal katy perry born october thank much decio hair,1
348,honestly speaking except taylor swift adele lile modern day singers must say whenever hear song feel goosebumps quite inspiring thanks miss perry,0
349,going reach billion first katy taylor,0
